clc_quartier;clc_secteur;haut_tot;tronc_diam;longitude;latitude;age_estim;fk_arb_etat
Quartier du Centre-Ville;Quai Gayant;6.0;37;3.29326360936389;49.840500205123;9.947440142942227;EN PLACE
Quartier du Centre-Ville;Rue Villebois Mareuil;12.0;116;3.28906782466355;49.8445131066071;9.947440142942227;REMPLACÉ
Quartier de l'Europe;Square des Marronniers;16.0;150;3.30238687765097;49.8617777171499;9.947440142942227;EN PLACE
Quartier de l'Europe;Avenue Buffon;5.0;170;3.30404724089302;49.8584462024571;9.947440142942227;Essouché
Quartier de l'Europe;Rue Laplace;8.0;103;3.30553745769042;49.8609281587516;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;6.0;100;3.27126447731581;49.8378971710309;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;8.0;85;3.27090070184093;49.8377471700068;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;8.0;105;3.27073222757654;49.8376726168807;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;9.0;135;3.27054202279862;49.8375900220827;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;9.0;121;3.27036398652782;49.8375138245111;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;9.0;107;3.26999873221424;49.8373633466866;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;9.0;125;3.26979318707569;49.8372669944122;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;10.0;92;3.26961516089127;49.8371924607311;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;10.0;150;3.26925038512817;49.8370269975715;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;9.0;115;3.26906976999357;49.8369494994106;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;9.0;89;3.26887138437017;49.8368493215909;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;9.0;110;3.26867789809162;49.8367714908862;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;9.0;115;3.26848917650306;49.836690672182;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;9.0;103;3.2683265978609;49.836615871042;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;10.0;145;3.26813011747173;49.8365280523484;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;10.0;135;3.26785729637164;49.8363992540906;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;7.0;115;3.26752921381262;49.8362515445129;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;7.0;137;3.26735853971088;49.8361734276685;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;10.0;165;3.26683805231656;49.835943124461;9.947440142942227;EN PLACE
Quartier Saint-Martin - Oëstres;Rue de Paris;10.0;140;3.26613028425575;49.835622604285;9.947440142942227;EN PLACE
